"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-01","1928","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-02","1928","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-03","1928","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-04","1928","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-05","1928","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-06","1928","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-07","1928","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-08","1928","08","27.5","","14.7","","21.1","","33.3","","11.1","S","97.0","","0.0","","97.0","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-09","1928","09","18.2","","7.0","","12.6","","26.1","S","-2.2","","112.5","","0.0","","112.5","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-10","1928","10","12.9","","2.9","","7.9","","25.0","","-7.2","","112.3","","0.0","","112.3","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-11","1928","11","4.7","","-2.6","","1.1","","16.7","","-10.6","","68.3","","2.5","","70.9","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1928-12","1928","12","-0.1","","-8.4","","-4.3","","7.2","","-18.3","","25.1","","50.3","","75.4","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-01","1929","01","-5.6","","-15.9","","-10.8","","6.7","","-25.6","","80.8","","83.6","","164.3","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-02","1929","02","-3.9","","-16.3","","-10.1","","6.1","","-25.6","S","9.4","","36.6","","46.0","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-03","1929","03","1.7","","-5.3","","-1.8","","11.7","","-21.1","","97.5","","28.2","","125.7","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-04","1929","04","8.8","","-0.6","","4.1","","16.7","S","-9.4","","97.3","","25.9","","123.2","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-05","1929","05","17.2","","5.4","","11.3","","30.6","","-1.7","","127.3","","0.0","","127.3","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-06","1929","06","22.3","","11.5","","16.9","","29.4","S","2.8","","133.6","","0.0","","133.6","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-07","1929","07","25.2","","12.9","","19.1","","33.3","","5.6","","43.2","","0.0","","43.2","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-08","1929","08","22.6","","11.6","","17.1","","28.9","","4.4","","49.8","","0.0","","49.8","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-09","1929","09","20.9","","9.3","","15.1","","30.0","","-1.7","","46.7","","0.0","","46.7","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-10","1929","10","13.1","","2.6","","7.9","","22.2","S","-3.9","","76.5","","0.3","","76.7","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-11","1929","11","4.8","","-2.6","","1.1","","16.1","","-15.6","","80.0","","3.6","","83.6","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1929-12","1929","12","-4.8","","-12.7","","-8.8","","3.9","","-30.0","","3.0","","119.6","","122.7","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-01","1930","01","-4.7","","-14.5","","-9.6","","5.6","S","-25.0","","97.8","","51.6","","149.4","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-02","1930","02","-4.7","","-15.8","","-10.3","","6.7","","-31.1","","5.3","","36.8","","42.2","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-03","1930","03","-0.2","","-7.4","","-3.8","","5.6","","-17.8","","54.6","","21.1","","75.7","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-04","1930","04","9.2","","-1.7","","3.8","","19.4","","-7.2","","43.7","","15.2","","58.9","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-05","1930","05","18.6","","7.3","","13.0","","30.0","","0.0","","88.9","","0.0","","88.9","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-06","1930","06","25.5","","14.5","","20.0","","31.7","S","3.3","","86.1","","0.0","","86.1","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-07","1930","07","25.3","","14.9","","20.1","","29.4","","8.3","","128.8","","0.0","","128.8","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-08","1930","08","23.8","","12.5","","18.2","","29.4","","4.4","","23.6","","0.0","","23.6","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-09","1930","09","20.3","","9.7","","15.0","","29.4","","2.8","","51.1","","0.0","","51.1","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-10","1930","10","14.0","","3.0","","8.5","","26.7","","-6.1","","24.4","","0.0","","24.4","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-11","1930","11","6.7","","-1.2","","2.8","","15.0","","-15.0","S","37.8","","7.6","","45.5","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1930-12","1930","12","-2.2","","-10.2","","-6.2","","3.9","S","-22.2","","17.8","","24.1","","41.9","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-01","1931","01","-6.7","","-17.7","","-12.2","","2.8","","-36.1","","0.0","","78.5","","78.5","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-02","1931","02","-3.9","","-16.7","","-10.3","","2.2","","-32.2","","12.7","","80.0","","92.7","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-03","1931","03","3.8","","-4.6","","-0.4","","11.1","","-15.0","","18.8","","35.1","","53.8","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-04","1931","04","13.6","","1.2","","7.4","","27.2","","-5.0","S","61.5","","0.0","T","61.5","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-05","1931","05","18.7","","7.1","","12.9","","28.9","S","-2.2","","74.2","","0.0","","74.2","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-06","1931","06","23.9","","11.5","","17.7","","32.2","","5.0","","82.6","","0.0","","82.6","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-07","1931","07","27.8","","16.8","","22.3","","35.0","","10.6","","99.3","","0.0","","99.3","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-08","1931","08","25.3","","13.4","","19.4","","32.8","","7.8","","54.1","","0.0","","54.1","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-09","1931","09","21.0","","10.8","","15.9","","32.8","","2.8","","165.1","","0.0","","165.1","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-10","1931","10","15.2","","5.3","","10.3","","27.2","","-1.7","","89.9","","0.0","","89.9","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-11","1931","11","8.3","","-0.2","","4.1","","19.4","","-8.3","","67.1","","3.3","","70.4","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1931-12","1931","12","-0.7","","-10.7","","-5.7","","7.8","","-18.9","S","23.6","","32.8","","56.4","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-01","1932","01","0.8","","-9.1","","-4.2","","12.2","","-17.2","S","87.9","","30.7","","118.6","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-02","1932","02","-4.4","","-11.7","","-8.1","","7.8","","-22.8","","23.9","","50.0","","73.9","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-03","1932","03","-2.3","","-10.2","","-6.3","","6.1","","-23.9","","21.3","","109.7","","131.1","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-04","1932","04","8.2","","-1.3","","3.5","","21.1","","-8.9","","64.3","","17.3","","81.5","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-05","1932","05","19.2","","6.2","","12.7","","32.8","","-1.1","S","53.6","","0.0","","53.6","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-06","1932","06","23.6","","11.7","","17.7","","29.4","","4.4","S","95.5","","0.0","","95.5","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-07","1932","07","24.7","","13.9","","19.3","","28.9","S","8.3","","86.9","","0.0","","86.9","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-08","1932","08","26.1","","14.4","","20.3","","33.3","","8.3","S","70.9","","0.0","","70.9","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-09","1932","09","21.5","","10.2","","15.9","","32.2","","0.0","","32.8","","0.0","","32.8","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-10","1932","10","13.8","","3.9","","8.9","","25.6","","-4.4","","148.8","","0.0","T","148.8","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-11","1932","11","2.9","","-6.3","","-1.7","","13.3","","-18.3","","89.9","","24.6","","114.6","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1932-12","1932","12","-0.2","","-9.6","","-4.9","","12.2","","-29.4","","37.3","","47.0","","84.3","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1933-01","1933","01","0.6","","-10.1","","-4.8","","8.3","","-20.0","","25.4","","22.9","","48.3","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1933-02","1933","02","-1.7","","-11.9","","-6.8","","5.0","S","-23.9","S","8.1","","44.7","","52.8","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1933-03","1933","03","0.1","","-10.1","","-5.0","","5.6","S","-17.8","","12.2","","62.5","","74.7","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1933-04","1933","04","9.7","","0.6","","5.2","","22.2","","-5.6","","100.6","","9.1","","109.7","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1933-05","1933","05","19.0","","7.1","","13.1","","26.7","","-2.2","","155.4","","0.0","","155.4","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1933-06","1933","06","25.3","","12.7","","19.0","","35.0","","2.8","","44.2","","0.0","","44.2","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1933-07","1933","07","25.9","","13.7","","19.8","","31.7","","8.3","","84.8","","0.0","","84.8","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1933-08","1933","08","24.7","","12.9","","18.8","","31.1","","7.8","","98.0","","0.0","","98.0","","","","","","",""
"-73.42","45.52","MONTREAL/ST-HUBERT A","7027320","1933-09","1933","09","21.1","","9.6","","15.4","","27.2","S","3.3","S","47.0","","0.0","","47.0","","","","","","",""
